time,temperature_2m,apparent_temperature,relative_humidity_2m
2025-06-11 00:00:00,24.1,28.6,89
2025-06-11 01:00:00,24.0,28.4,87
2025-06-11 02:00:00,23.7,27.9,89
2025-06-11 03:00:00,23.5,27.7,91
2025-06-11 04:00:00,23.0,27.5,93
2025-06-11 05:00:00,22.8,27.2,95
2025-06-11 06:00:00,23.1,27.6,95
2025-06-11 07:00:00,23.8,28.3,91
2025-06-11 08:00:00,24.2,28.9,88
2025-06-11 09:00:00,25.5,29.0,75
2025-06-11 10:00:00,26.2,29.6,71
2025-06-11 11:00:00,26.8,29.9,68
2025-06-11 12:00:00,26.8,29.8,68
2025-06-11 13:00:00,27.2,30.6,68
2025-06-11 14:00:00,27.0,30.6,69
2025-06-11 15:00:00,27.0,30.5,70
2025-06-11 16:00:00,27.0,30.4,70
2025-06-11 17:00:00,26.5,29.7,74
2025-06-11 18:00:00,25.5,28.7,77
2025-06-11 19:00:00,24.9,28.1,79
2025-06-11 20:00:00,24.2,27.4,81
2025-06-11 21:00:00,24.2,28.0,83
2025-06-11 22:00:00,23.9,27.4,84
2025-06-11 23:00:00,23.7,27.2,85
2025-06-12 00:00:00,23.4,26.9,87
2025-06-12 01:00:00,23.1,26.9,89
2025-06-12 02:00:00,22.8,26.6,91
2025-06-12 03:00:00,22.6,26.3,91
2025-06-12 04:00:00,22.5,26.1,91
2025-06-12 05:00:00,22.1,25.8,91
2025-06-12 06:00:00,22.3,25.8,91
2025-06-12 07:00:00,23.0,26.6,89
2025-06-12 08:00:00,24.0,27.6,84
2025-06-12 09:00:00,25.1,29.1,80
2025-06-12 10:00:00,26.5,30.0,74
2025-06-12 11:00:00,27.4,31.1,70
2025-06-12 12:00:00,28.1,32.2,67
2025-06-12 13:00:00,28.2,31.6,66
2025-06-12 14:00:00,28.9,32.6,63
2025-06-12 15:00:00,28.4,32.0,67
2025-06-12 16:00:00,28.1,31.6,70
2025-06-12 17:00:00,27.5,31.1,72
2025-06-12 18:00:00,27.0,30.9,76
2025-06-12 19:00:00,25.9,30.0,82
2025-06-12 20:00:00,25.1,29.4,85
2025-06-12 21:00:00,25.2,29.8,87
2025-06-12 22:00:00,24.9,29.3,88
2025-06-12 23:00:00,24.5,28.7,89
2025-06-13 00:00:00,24.2,28.5,91
2025-06-13 01:00:00,24.0,28.4,92
2025-06-13 02:00:00,23.5,28.1,93
2025-06-13 03:00:00,23.1,27.8,94
2025-06-13 04:00:00,23.0,27.7,95
2025-06-13 05:00:00,23.1,27.7,95
2025-06-13 06:00:00,23.4,27.7,95
2025-06-13 07:00:00,24.1,28.6,93
2025-06-13 08:00:00,25.3,30.2,89
2025-06-13 09:00:00,26.8,32.0,83
2025-06-13 10:00:00,28.1,33.9,76
2025-06-13 11:00:00,29.5,36.0,69
2025-06-13 12:00:00,29.9,35.2,67
2025-06-13 13:00:00,30.4,35.5,65
2025-06-13 14:00:00,30.6,35.4,64
2025-06-13 15:00:00,31.0,35.9,63
2025-06-13 16:00:00,31.0,35.8,62
2025-06-13 17:00:00,30.8,35.6,63
2025-06-13 18:00:00,30.3,35.7,68
2025-06-13 19:00:00,29.0,34.9,76
2025-06-13 20:00:00,27.9,33.3,80
2025-06-13 21:00:00,27.9,33.5,79
2025-06-13 22:00:00,27.5,32.9,81
2025-06-13 23:00:00,27.3,32.5,81
2025-06-14 00:00:00,26.8,31.7,81
